OBJECTID,PolygonOID,Position,TIF_ID,X,Y
1,0,NW,4478,191400.701700000092387,191400.701700000092387
2,0,NE,4478,191400.923700000159442,191400.923700000159442
3,0,SW,4478,191399.098100000061095,191399.098100000061095
4,0,SE,4478,191400.923700000159442,191400.923700000159442
5,1,NW,4479,191400.923700000159442,191400.923700000159442
6,1,NE,4479,191424.258799999952316,191424.258799999952316
7,1,SW,4479,191400.923700000159442,191400.923700000159442
8,1,SE,4479,191421.977099999785423,191421.977099999785423
9,2,NW,4251,191499.419999999925494,191499.419999999925494
10,2,NE,4251,191500.923700000159442,191500.923700000159442
11,2,SW,4251,191499.431400000117719,191499.431400000117719
12,2,SE,4251,191500.923700000159442,191500.923700000159442
13,3,NW,4252,191500.923700000159442,191500.923700000159442
14,3,NE,4252,191512.571100000292063,191512.571100000292063
15,3,SW,4252,191500.923700000159442,191500.923700000159442
16,3,SE,4252,191512.473000000230968,191512.473000000230968
17,4,NW,4266,191499.431400000117719,191499.431400000117719
18,4,NE,4266,191500.923700000159442,191500.923700000159442
19,4,SW,4266,191499.476300000213087,191499.476300000213087
20,4,SE,4266,191500.923700000159442,191500.923700000159442
21,5,NW,4267,191500.923700000159442,191500.923700000159442
22,5,NE,4267,191512.473000000230968,191512.473000000230968
23,5,SW,4267,191500.923700000159442,191500.923700000159442
24,5,SE,4267,191511.957499999552965,191511.957499999552965
25,6,NW,4706,180272.985100000165403,180272.985100000165403
26,6,NE,4706,180285.808699999935925,180285.808699999935925
27,6,SW,4706,180272.307000000029802,180272.307000000029802
28,6,SE,4706,180284.823499999940395,180284.823499999940395
29,7,NW,3754,176551.645800000056624,176551.645800000056624
30,7,NE,3754,176594.471199999563396,176594.471199999563396
31,7,SW,3754,176551.096800000406802,176551.096800000406802
32,7,SE,3754,176594.306400000117719,176594.306400000117719
33,8,NW,4827,177289.887299999594688,177289.887299999594688
34,8,NE,4827,177300.923700000159442,177300.923700000159442
35,8,SW,4827,177275.457100000232458,177275.457100000232458
36,8,SE,4827,177300.923700000159442,177300.923700000159442
37,9,NW,4828,177300.923700000159442,177300.923700000159442
38,9,NE,4828,177327.601300000213087,177327.601300000213087
39,9,SW,4828,177300.923700000159442,177300.923700000159442
40,9,SE,4828,177326.172000000253320,177326.172000000253320
41,10,NW,4840,177250.923700000159442,177250.923700000159442
42,10,NE,4840,177250.923700000159442,177250.923700000159442
43,10,SW,4840,177245.685700000263751,177245.685700000263751
44,10,SE,4840,177250.923700000159442,177250.923700000159442
45,11,NW,4841,177275.457100000232458,177275.457100000232458
46,11,NE,4841,177300.923700000159442,177300.923700000159442
47,11,SW,4841,177250.923700000159442,177250.923700000159442
48,11,SE,4841,177297.460199999623001,177297.460199999623001
49,12,NW,4842,177300.923700000159442,177300.923700000159442
50,12,NE,4842,177326.172000000253320,177326.172000000253320
51,12,SW,4842,177300.923700000159442,177300.923700000159442
52,12,SE,4842,177300.923700000159442,177300.923700000159442
53,13,NW,4855,177245.685700000263751,177245.685700000263751
54,13,NE,4855,177250.923700000159442,177250.923700000159442
55,13,SW,4855,177238.666199999861419,177238.666199999861419
56,13,SE,4855,177250.923700000159442,177250.923700000159442
57,14,NW,4856,177250.923700000159442,177250.923700000159442
58,14,NE,4856,177297.460199999623001,177297.460199999623001
59,14,SW,4856,177250.923700000159442,177250.923700000159442
60,14,SE,4856,177277.737300000153482,177277.737300000153482
61,15,NW,5308,176550.923700000159442,176550.923700000159442
62,15,NE,5308,176550.923700000159442,176550.923700000159442
63,15,SW,5308,176550.208100000396371,176550.208100000396371
64,15,SE,5308,176550.923700000159442,176550.923700000159442
65,16,NW,5309,176555.896499999798834,176555.896499999798834
66,16,NE,5309,176566.090300000272691,176566.090300000272691
67,16,SW,5309,176550.923700000159442,176550.923700000159442
68,16,SE,5309,176560.637299999594688,176560.637299999594688
69,17,NW,5337,176550.208100000396371,176550.208100000396371
70,17,NE,5337,176550.923700000159442,176550.923700000159442
71,17,SW,5337,176537.600499999709427,176537.600499999709427
72,17,SE,5337,176546.892699999734759,176546.892699999734759
73,18,NW,5338,176550.923700000159442,176550.923700000159442
74,18,NE,5338,176560.637299999594688,176560.637299999594688
75,18,SW,5338,176550.923700000159442,176550.923700000159442
